Experiment,T,CA0,CB0,t_meas,CA_meas
26.0,170.0,3.0,1.0,20.0,2.63
26.0,170.0,3.0,1.0,40.0,2.67
26.0,170.0,3.0,1.0,60.0,2.33
26.0,170.0,3.0,1.0,80.0,2.45
26.0,170.0,3.0,1.0,100.0,2.27
27.0,180.0,3.0,1.0,20.0,2.71
27.0,180.0,3.0,1.0,40.0,2.51
27.0,180.0,3.0,1.0,60.0,2.29
27.0,180.0,3.0,1.0,80.0,2.16
27.0,180.0,3.0,1.0,100.0,2.23
28.0,190.0,3.0,1.0,20.0,2.43
28.0,190.0,3.0,1.0,40.0,2.27
28.0,190.0,3.0,1.0,60.0,2.1
28.0,190.0,3.0,1.0,80.0,2.01
28.0,190.0,3.0,1.0,100.0,2.19
29.0,160.0,3.0,2.0,20.0,2.81
29.0,160.0,3.0,2.0,40.0,2.52
29.0,160.0,3.0,2.0,60.0,2.4
29.0,160.0,3.0,2.0,80.0,2.2
29.0,160.0,3.0,2.0,100.0,1.93
30.0,170.0,3.0,2.0,20.0,2.52
30.0,170.0,3.0,2.0,40.0,2.36
30.0,170.0,3.0,2.0,60.0,2.01
30.0,170.0,3.0,2.0,80.0,1.81
30.0,170.0,3.0,2.0,100.0,1.65
31.0,180.0,3.0,2.0,20.0,2.48
31.0,180.0,3.0,2.0,40.0,1.92
31.0,180.0,3.0,2.0,60.0,1.73
31.0,180.0,3.0,2.0,80.0,1.56
31.0,180.0,3.0,2.0,100.0,1.53
32.0,190.0,3.0,2.0,20.0,2.17
32.0,190.0,3.0,2.0,40.0,1.84
32.0,190.0,3.0,2.0,60.0,1.61
32.0,190.0,3.0,2.0,80.0,1.51
32.0,190.0,3.0,2.0,100.0,1.41
33.0,160.0,3.0,3.0,20.0,2.66
33.0,160.0,3.0,3.0,40.0,2.17
33.0,160.0,3.0,3.0,60.0,1.97
33.0,160.0,3.0,3.0,80.0,1.71
33.0,160.0,3.0,3.0,100.0,1.51
34.0,170.0,3.0,3.0,20.0,2.28
34.0,170.0,3.0,3.0,40.0,2.07
34.0,170.0,3.0,3.0,60.0,1.49
34.0,170.0,3.0,3.0,80.0,1.53
34.0,170.0,3.0,3.0,100.0,1.3
35.0,180.0,3.0,3.0,20.0,2.15
35.0,180.0,3.0,3.0,40.0,1.51
35.0,180.0,3.0,3.0,60.0,1.21
35.0,180.0,3.0,3.0,80.0,1.08
35.0,180.0,3.0,3.0,100.0,1.03
36.0,190.0,3.0,3.0,20.0,1.83
36.0,190.0,3.0,3.0,40.0,1.43
36.0,190.0,3.0,3.0,60.0,1.1
36.0,190.0,3.0,3.0,80.0,0.81
36.0,190.0,3.0,3.0,100.0,0.76
