T (F),Vdot (gal/min),CA_in (lbmol/gal),CY_in (lbmol/gal),CZ_in (lbmol/gal),CA_out (lbmol/gal)
90.00000000000006,0.5,0.03,0.02,0,0.0168
90.00000000000006,0.5,0.03,0.02,0.01,0.02
90.00000000000006,0.5,0.03,0.02,0.02,0.0202
90.00000000000006,0.5,0.03,0.02,0.03,0.0205
90.00000000000006,0.5,0.03,0.03,0,0.0183
90.00000000000006,0.5,0.03,0.03,0.01,0.0207
90.00000000000006,0.5,0.03,0.03,0.02,0.0202
90.00000000000006,0.5,0.03,0.03,0.03,0.0208
90.00000000000006,1,0.01,0,0,0.0075
90.00000000000006,1,0.01,0,0.01,0.0083
90.00000000000006,1,0.01,0,0.02,0.0086
90.00000000000006,1,0.01,0,0.03,0.0084
90.00000000000006,1,0.01,0.01,0,0.0082
90.00000000000006,1,0.01,0.01,0.01,0.0083
90.00000000000006,1,0.01,0.01,0.02,0.0093
90.00000000000006,1,0.01,0.01,0.03,0.0101
90.00000000000006,1,0.01,0.02,0,0.0084
90.00000000000006,1,0.01,0.02,0.01,0.0093
90.00000000000006,1,0.01,0.02,0.02,0.0102
90.00000000000006,1,0.01,0.02,0.03,0.0105
90.00000000000006,1,0.01,0.03,0,0.0079
90.00000000000006,1,0.01,0.03,0.01,0.0094
90.00000000000006,1,0.01,0.03,0.02,0.0108
90.00000000000006,1,0.01,0.03,0.03,0.012
90.00000000000006,1,0.02,0,0,0.0131
90.00000000000006,1,0.02,0,0.01,0.014
90.00000000000006,1,0.02,0,0.02,0.015
90.00000000000006,1,0.02,0,0.03,0.0137
90.00000000000006,1,0.02,0.01,0,0.0138
90.00000000000006,1,0.02,0.01,0.01,0.0158
90.00000000000006,1,0.02,0.01,0.02,0.0157
90.00000000000006,1,0.02,0.01,0.03,0.0149
90.00000000000006,1,0.02,0.02,0,0.0143
90.00000000000006,1,0.02,0.02,0.01,0.015
90.00000000000006,1,0.02,0.02,0.02,0.0161
90.00000000000006,1,0.02,0.02,0.03,0.0164
90.00000000000006,1,0.02,0.03,0,0.0138
90.00000000000006,1,0.02,0.03,0.01,0.0156
90.00000000000006,1,0.02,0.03,0.02,0.0164
90.00000000000006,1,0.02,0.03,0.03,0.017
90.00000000000006,1,0.03,0,0,0.0204
90.00000000000006,1,0.03,0,0.01,0.0196
90.00000000000006,1,0.03,0,0.02,0.0185
90.00000000000006,1,0.03,0,0.03,0.0204
90.00000000000006,1,0.03,0.01,0,0.02
90.00000000000006,1,0.03,0.01,0.01,0.02
90.00000000000006,1,0.03,0.01,0.02,0.0194
90.00000000000006,1,0.03,0.01,0.03,0.0205
90.00000000000006,1,0.03,0.02,0,0.0206
90.00000000000006,1,0.03,0.02,0.01,0.0201
90.00000000000006,1,0.03,0.02,0.02,0.023
90.00000000000006,1,0.03,0.02,0.03,0.0226
90.00000000000006,1,0.03,0.03,0,0.0205
90.00000000000006,1,0.03,0.03,0.01,0.0217
90.00000000000006,1,0.03,0.03,0.02,0.0213
90.00000000000006,1,0.03,0.03,0.03,0.0234
90.00000000000006,1.5,0.01,0,0,0.0086
90.00000000000006,1.5,0.01,0,0.01,0.0084
90.00000000000006,1.5,0.01,0,0.02,0.0088
90.00000000000006,1.5,0.01,0,0.03,0.0084
90.00000000000006,1.5,0.01,0.01,0,0.0086
90.00000000000006,1.5,0.01,0.01,0.01,0.0093
90.00000000000006,1.5,0.01,0.01,0.02,0.009
90.00000000000006,1.5,0.01,0.01,0.03,0.0093
90.00000000000006,1.5,0.01,0.02,0,0.0088
90.00000000000006,1.5,0.01,0.02,0.01,0.0089
90.00000000000006,1.5,0.01,0.02,0.02,0.0102
90.00000000000006,1.5,0.01,0.02,0.03,0.0103
90.00000000000006,1.5,0.01,0.03,0,0.0084
90.00000000000006,1.5,0.01,0.03,0.01,0.0095
90.00000000000006,1.5,0.01,0.03,0.02,0.0109
90.00000000000006,1.5,0.01,0.03,0.03,0.012
90.00000000000006,1.5,0.02,0,0,0.0147
90.00000000000006,1.5,0.02,0,0.01,0.0145
90.00000000000006,1.5,0.02,0,0.02,0.0149
90.00000000000006,1.5,0.02,0,0.03,0.0149
90.00000000000006,1.5,0.02,0.01,0,0.0151
90.00000000000006,1.5,0.02,0.01,0.01,0.0151
90.00000000000006,1.5,0.02,0.01,0.02,0.0154
90.00000000000006,1.5,0.02,0.01,0.03,0.0165
90.00000000000006,1.5,0.02,0.02,0,0.0144
90.00000000000006,1.5,0.02,0.02,0.01,0.0162
90.00000000000006,1.5,0.02,0.02,0.02,0.0163
90.00000000000006,1.5,0.02,0.02,0.03,0.0173
90.00000000000006,1.5,0.02,0.03,0,0.0163
90.00000000000006,1.5,0.02,0.03,0.01,0.0167
90.00000000000006,1.5,0.02,0.03,0.02,0.0166
90.00000000000006,1.5,0.02,0.03,0.03,0.0189
90.00000000000006,1.5,0.03,0,0,0.0222
90.00000000000006,1.5,0.03,0,0.01,0.0198
90.00000000000006,1.5,0.03,0,0.02,0.0207
90.00000000000006,1.5,0.03,0,0.03,0.0229
90.00000000000006,1.5,0.03,0.01,0,0.0198
90.00000000000006,1.5,0.03,0.01,0.01,0.0216
90.00000000000006,1.5,0.03,0.01,0.02,0.0229
90.00000000000006,1.5,0.03,0.01,0.03,0.0234
90.00000000000006,1.5,0.03,0.02,0,0.0215
90.00000000000006,1.5,0.03,0.02,0.01,0.0214
90.00000000000006,1.5,0.03,0.02,0.02,0.0221
90.00000000000006,1.5,0.03,0.02,0.03,0.023
90.00000000000006,1.5,0.03,0.03,0,0.0201
90.00000000000006,1.5,0.03,0.03,0.01,0.0221
90.00000000000006,1.5,0.03,0.03,0.02,0.0219
90.00000000000006,1.5,0.03,0.03,0.03,0.0238
90.00000000000006,2,0.01,0,0,0.0087
90.00000000000006,2,0.01,0,0.01,0.0092
90.00000000000006,2,0.01,0,0.02,0.0086
90.00000000000006,2,0.01,0,0.03,0.0086
90.00000000000006,2,0.01,0.01,0,0.0087
90.00000000000006,2,0.01,0.01,0.01,0.0094
90.00000000000006,2,0.01,0.01,0.02,0.0099
90.00000000000006,2,0.01,0.01,0.03,0.0097
90.00000000000006,2,0.01,0.02,0,0.0086
90.00000000000006,2,0.01,0.02,0.01,0.0096
90.00000000000006,2,0.01,0.02,0.02,0.0096
90.00000000000006,2,0.01,0.02,0.03,0.0108
90.00000000000006,2,0.01,0.03,0,0.009
90.00000000000006,2,0.01,0.03,0.01,0.0097
90.00000000000006,2,0.01,0.03,0.02,0.0101
90.00000000000006,2,0.01,0.03,0.03,0.0117
90.00000000000006,2,0.02,0,0,0.0161
90.00000000000006,2,0.02,0,0.01,0.0155
90.00000000000006,2,0.02,0,0.02,0.017
90.00000000000006,2,0.02,0,0.03,0.0167
90.00000000000006,2,0.02,0.01,0,0.0154
90.00000000000006,2,0.02,0.01,0.01,0.0167
90.00000000000006,2,0.02,0.01,0.02,0.0172
90.00000000000006,2,0.02,0.01,0.03,0.0173
90.00000000000006,2,0.02,0.02,0,0.0166
90.00000000000006,2,0.02,0.02,0.01,0.0169
90.00000000000006,2,0.02,0.02,0.02,0.0166
90.00000000000006,2,0.02,0.02,0.03,0.0174
90.00000000000006,2,0.02,0.03,0,0.0156
90.00000000000006,2,0.02,0.03,0.01,0.0178
90.00000000000006,2,0.02,0.03,0.02,0.0184
90.00000000000006,2,0.02,0.03,0.03,0.0178
90.00000000000006,2,0.03,0,0,0.0217
90.00000000000006,2,0.03,0,0.01,0.0223
90.00000000000006,2,0.03,0,0.02,0.0223
90.00000000000006,2,0.03,0,0.03,0.0233
90.00000000000006,2,0.03,0.01,0,0.0212
90.00000000000006,2,0.03,0.01,0.01,0.0227
90.00000000000006,2,0.03,0.01,0.02,0.0243
90.00000000000006,2,0.03,0.01,0.03,0.0245
90.00000000000006,2,0.03,0.02,0,0.0218
90.00000000000006,2,0.03,0.02,0.01,0.0227
90.00000000000006,2,0.03,0.02,0.02,0.0234
90.00000000000006,2,0.03,0.02,0.03,0.0254
90.00000000000006,2,0.03,0.03,0,0.0218
90.00000000000006,2,0.03,0.03,0.01,0.0221
90.00000000000006,2,0.03,0.03,0.02,0.0243
90.00000000000006,2,0.03,0.03,0.03,0.0241
90.00000000000006,2.5,0.01,0,0,0.0091
90.00000000000006,2.5,0.01,0,0.01,0.0086
90.00000000000006,2.5,0.01,0,0.02,0.0095
90.00000000000006,2.5,0.01,0,0.03,0.0087
90.00000000000006,2.5,0.01,0.01,0,0.009
90.00000000000006,2.5,0.01,0.01,0.01,0.0093
90.00000000000006,2.5,0.01,0.01,0.02,0.0099
90.00000000000006,2.5,0.01,0.01,0.03,0.0098
90.00000000000006,2.5,0.01,0.02,0,0.0089
90.00000000000006,2.5,0.01,0.02,0.01,0.0094
90.00000000000006,2.5,0.01,0.02,0.02,0.0097
90.00000000000006,2.5,0.01,0.02,0.03,0.0102
90.00000000000006,2.5,0.01,0.03,0,0.0094
90.00000000000006,2.5,0.01,0.03,0.01,0.01
90.00000000000006,2.5,0.01,0.03,0.02,0.01
90.00000000000006,2.5,0.01,0.03,0.03,0.0116
90.00000000000006,2.5,0.02,0,0,0.0164
90.00000000000006,2.5,0.02,0,0.01,0.0174
90.00000000000006,2.5,0.02,0,0.02,0.0176
90.00000000000006,2.5,0.02,0,0.03,0.0166
90.00000000000006,2.5,0.02,0.01,0,0.0156
90.00000000000006,2.5,0.02,0.01,0.01,0.0166
90.00000000000006,2.5,0.02,0.01,0.02,0.018
90.00000000000006,2.5,0.02,0.01,0.03,0.0168
90.00000000000006,2.5,0.02,0.02,0,0.0163
90.00000000000006,2.5,0.02,0.02,0.01,0.018
90.00000000000006,2.5,0.02,0.02,0.02,0.0169
90.00000000000006,2.5,0.02,0.02,0.03,0.0171
90.00000000000006,2.5,0.02,0.03,0,0.016
90.00000000000006,2.5,0.02,0.03,0.01,0.0178
90.00000000000006,2.5,0.02,0.03,0.02,0.0179
90.00000000000006,2.5,0.02,0.03,0.03,0.0188
90.00000000000006,2.5,0.03,0,0,0.0229
90.00000000000006,2.5,0.03,0,0.01,0.0231
90.00000000000006,2.5,0.03,0,0.02,0.023
90.00000000000006,2.5,0.03,0,0.03,0.0233
90.00000000000006,2.5,0.03,0.01,0,0.0236
90.00000000000006,2.5,0.03,0.01,0.01,0.0245
90.00000000000006,2.5,0.03,0.01,0.02,0.0241
90.00000000000006,2.5,0.03,0.01,0.03,0.0238
90.00000000000006,2.5,0.03,0.02,0,0.0235
90.00000000000006,2.5,0.03,0.02,0.01,0.025
90.00000000000006,2.5,0.03,0.02,0.02,0.0251
90.00000000000006,2.5,0.03,0.02,0.03,0.025
90.00000000000006,2.5,0.03,0.03,0,0.024
90.00000000000006,2.5,0.03,0.03,0.01,0.0245
90.00000000000006,2.5,0.03,0.03,0.02,0.0238
90.00000000000006,2.5,0.03,0.03,0.03,0.0247
110.00000000000006,0.5,0.01,0,0,0.0065
110.00000000000006,0.5,0.01,0,0.01,0.0071
110.00000000000006,0.5,0.01,0,0.02,0.0071
110.00000000000006,0.5,0.01,0,0.03,0.0079
110.00000000000006,0.5,0.01,0.01,0,0.0064
110.00000000000006,0.5,0.01,0.01,0.01,0.0078
110.00000000000006,0.5,0.01,0.01,0.02,0.0092
110.00000000000006,0.5,0.01,0.01,0.03,0.0101
110.00000000000006,0.5,0.01,0.02,0,0.0076
110.00000000000006,0.5,0.01,0.02,0.01,0.0092
110.00000000000006,0.5,0.01,0.02,0.02,0.0102
110.00000000000006,0.5,0.01,0.02,0.03,0.0114
110.00000000000006,0.5,0.01,0.03,0,0.0077
110.00000000000006,0.5,0.01,0.03,0.01,0.0101
110.00000000000006,0.5,0.01,0.03,0.02,0.0124
110.00000000000006,0.5,0.01,0.03,0.03,0.0135
110.00000000000006,0.5,0.02,0,0,0.0117
110.00000000000006,0.5,0.02,0,0.01,0.0117
110.00000000000006,0.5,0.02,0,0.02,0.0115
110.00000000000006,0.5,0.02,0,0.03,0.0128
110.00000000000006,0.5,0.02,0.01,0,0.012
110.00000000000006,0.5,0.02,0.01,0.01,0.0136
110.00000000000006,0.5,0.02,0.01,0.02,0.0139
110.00000000000006,0.5,0.02,0.01,0.03,0.0157
110.00000000000006,0.5,0.02,0.02,0,0.0118
110.00000000000006,0.5,0.02,0.02,0.01,0.0146
110.00000000000006,0.5,0.02,0.02,0.02,0.0157
110.00000000000006,0.5,0.02,0.02,0.03,0.0171
110.00000000000006,0.5,0.02,0.03,0,0.0134
110.00000000000006,0.5,0.02,0.03,0.01,0.0154
110.00000000000006,0.5,0.02,0.03,0.02,0.017
110.00000000000006,0.5,0.02,0.03,0.03,0.0181
110.00000000000006,0.5,0.03,0,0,0.0155
110.00000000000006,0.5,0.03,0,0.01,0.0153
110.00000000000006,0.5,0.03,0,0.02,0.0179
110.00000000000006,0.5,0.03,0,0.03,0.0183
110.00000000000006,0.5,0.03,0.01,0,0.016
110.00000000000006,0.5,0.03,0.01,0.01,0.0177
110.00000000000006,0.5,0.03,0.01,0.02,0.0175
110.00000000000006,0.5,0.03,0.01,0.03,0.0183
110.00000000000006,0.5,0.03,0.02,0,0.0168
110.00000000000006,0.5,0.03,0.02,0.01,0.0171
110.00000000000006,0.5,0.03,0.02,0.02,0.0208
110.00000000000006,0.5,0.03,0.02,0.03,0.0216
110.00000000000006,0.5,0.03,0.03,0,0.0171
110.00000000000006,0.5,0.03,0.03,0.01,0.0195
110.00000000000006,0.5,0.03,0.03,0.02,0.0217
110.00000000000006,0.5,0.03,0.03,0.03,0.0241
110.00000000000006,1,0.01,0,0,0.0075
110.00000000000006,1,0.01,0,0.01,0.0079
110.00000000000006,1,0.01,0,0.02,0.0082
110.00000000000006,1,0.01,0,0.03,0.008
110.00000000000006,1,0.01,0.01,0,0.0081
110.00000000000006,1,0.01,0.01,0.01,0.0086
110.00000000000006,1,0.01,0.01,0.02,0.0092
110.00000000000006,1,0.01,0.01,0.03,0.0103
110.00000000000006,1,0.01,0.02,0,0.0077
110.00000000000006,1,0.01,0.02,0.01,0.0094
110.00000000000006,1,0.01,0.02,0.02,0.0107
110.00000000000006,1,0.01,0.02,0.03,0.0119
110.00000000000006,1,0.01,0.03,0,0.0084
110.00000000000006,1,0.01,0.03,0.01,0.0099
110.00000000000006,1,0.01,0.03,0.02,0.0119
110.00000000000006,1,0.01,0.03,0.03,0.013
110.00000000000006,1,0.02,0,0,0.0136
110.00000000000006,1,0.02,0,0.01,0.0125
110.00000000000006,1,0.02,0,0.02,0.0139
110.00000000000006,1,0.02,0,0.03,0.0142
110.00000000000006,1,0.02,0.01,0,0.0124
110.00000000000006,1,0.02,0.01,0.01,0.0135
110.00000000000006,1,0.02,0.01,0.02,0.0146
110.00000000000006,1,0.02,0.01,0.03,0.0154
110.00000000000006,1,0.02,0.02,0,0.013
110.00000000000006,1,0.02,0.02,0.01,0.0158
110.00000000000006,1,0.02,0.02,0.02,0.0158
110.00000000000006,1,0.02,0.02,0.03,0.0169
110.00000000000006,1,0.02,0.03,0,0.0139
110.00000000000006,1,0.02,0.03,0.01,0.0162
110.00000000000006,1,0.02,0.03,0.02,0.0167
110.00000000000006,1,0.02,0.03,0.03,0.018
110.00000000000006,1,0.03,0,0,0.0187
110.00000000000006,1,0.03,0,0.01,0.0187
110.00000000000006,1,0.03,0,0.02,0.0173
110.00000000000006,1,0.03,0,0.03,0.0194
110.00000000000006,1,0.03,0.01,0,0.0192
110.00000000000006,1,0.03,0.01,0.01,0.0198
110.00000000000006,1,0.03,0.01,0.02,0.0195
110.00000000000006,1,0.03,0.01,0.03,0.0198
110.00000000000006,1,0.03,0.02,0,0.0197
110.00000000000006,1,0.03,0.02,0.01,0.0199
110.00000000000006,1,0.03,0.02,0.02,0.0208
110.00000000000006,1,0.03,0.02,0.03,0.0216
110.00000000000006,1,0.03,0.03,0,0.0177
110.00000000000006,1,0.03,0.03,0.01,0.0198
110.00000000000006,1,0.03,0.03,0.02,0.0221
110.00000000000006,1,0.03,0.03,0.03,0.024
110.00000000000006,1.5,0.01,0,0,0.0079
110.00000000000006,1.5,0.01,0,0.01,0.0086
110.00000000000006,1.5,0.01,0,0.02,0.0082
110.00000000000006,1.5,0.01,0,0.03,0.0084
110.00000000000006,1.5,0.01,0.01,0,0.0078
110.00000000000006,1.5,0.01,0.01,0.01,0.0092
110.00000000000006,1.5,0.01,0.01,0.02,0.0089
110.00000000000006,1.5,0.01,0.01,0.03,0.0098
110.00000000000006,1.5,0.01,0.02,0,0.008
110.00000000000006,1.5,0.01,0.02,0.01,0.0091
110.00000000000006,1.5,0.01,0.02,0.02,0.01
110.00000000000006,1.5,0.01,0.02,0.03,0.0116
110.00000000000006,1.5,0.01,0.03,0,0.0084
110.00000000000006,1.5,0.01,0.03,0.01,0.0099
110.00000000000006,1.5,0.01,0.03,0.02,0.0116
110.00000000000006,1.5,0.01,0.03,0.03,0.0124
110.00000000000006,1.5,0.02,0,0,0.014
110.00000000000006,1.5,0.02,0,0.01,0.0136
110.00000000000006,1.5,0.02,0,0.02,0.0137
110.00000000000006,1.5,0.02,0,0.03,0.0151
110.00000000000006,1.5,0.02,0.01,0,0.015
110.00000000000006,1.5,0.02,0.01,0.01,0.0146
110.00000000000006,1.5,0.02,0.01,0.02,0.0153
110.00000000000006,1.5,0.02,0.01,0.03,0.017
110.00000000000006,1.5,0.02,0.02,0,0.0147
110.00000000000006,1.5,0.02,0.02,0.01,0.0161
110.00000000000006,1.5,0.02,0.02,0.02,0.0164
110.00000000000006,1.5,0.02,0.02,0.03,0.0169
110.00000000000006,1.5,0.02,0.03,0,0.0157
110.00000000000006,1.5,0.02,0.03,0.01,0.0156
110.00000000000006,1.5,0.02,0.03,0.02,0.0176
110.00000000000006,1.5,0.02,0.03,0.03,0.0185
110.00000000000006,1.5,0.03,0,0,0.0184
110.00000000000006,1.5,0.03,0,0.01,0.0208
110.00000000000006,1.5,0.03,0,0.02,0.0194
110.00000000000006,1.5,0.03,0,0.03,0.0209
110.00000000000006,1.5,0.03,0.01,0,0.0187
110.00000000000006,1.5,0.03,0.01,0.01,0.0199
110.00000000000006,1.5,0.03,0.01,0.02,0.0197
110.00000000000006,1.5,0.03,0.01,0.03,0.0218
110.00000000000006,1.5,0.03,0.02,0,0.019
110.00000000000006,1.5,0.03,0.02,0.01,0.0215
110.00000000000006,1.5,0.03,0.02,0.02,0.023
110.00000000000006,1.5,0.03,0.02,0.03,0.0216
110.00000000000006,1.5,0.03,0.03,0,0.019
110.00000000000006,1.5,0.03,0.03,0.01,0.0223
110.00000000000006,1.5,0.03,0.03,0.02,0.024
110.00000000000006,1.5,0.03,0.03,0.03,0.025
110.00000000000006,2,0.01,0,0,0.0079
110.00000000000006,2,0.01,0,0.01,0.0088
110.00000000000006,2,0.01,0,0.02,0.0086
110.00000000000006,2,0.01,0,0.03,0.0088
110.00000000000006,2,0.01,0.01,0,0.008
110.00000000000006,2,0.01,0.01,0.01,0.0091
110.00000000000006,2,0.01,0.01,0.02,0.0099
110.00000000000006,2,0.01,0.01,0.03,0.0102
110.00000000000006,2,0.01,0.02,0,0.009
110.00000000000006,2,0.01,0.02,0.01,0.0099
110.00000000000006,2,0.01,0.02,0.02,0.0104
110.00000000000006,2,0.01,0.02,0.03,0.011
110.00000000000006,2,0.01,0.03,0,0.0084
110.00000000000006,2,0.01,0.03,0.01,0.0096
110.00000000000006,2,0.01,0.03,0.02,0.0114
110.00000000000006,2,0.01,0.03,0.03,0.0122
110.00000000000006,2,0.02,0,0,0.0149
110.00000000000006,2,0.02,0,0.01,0.0142
110.00000000000006,2,0.02,0,0.02,0.0149
110.00000000000006,2,0.02,0,0.03,0.0163
110.00000000000006,2,0.02,0.01,0,0.0154
110.00000000000006,2,0.02,0.01,0.01,0.0166
110.00000000000006,2,0.02,0.01,0.02,0.0163
110.00000000000006,2,0.02,0.01,0.03,0.017
110.00000000000006,2,0.02,0.02,0,0.0143
110.00000000000006,2,0.02,0.02,0.01,0.0152
110.00000000000006,2,0.02,0.02,0.02,0.017
110.00000000000006,2,0.02,0.02,0.03,0.0181
110.00000000000006,2,0.02,0.03,0,0.0147
110.00000000000006,2,0.02,0.03,0.01,0.0159
110.00000000000006,2,0.02,0.03,0.02,0.0174
110.00000000000006,2,0.02,0.03,0.03,0.0183
110.00000000000006,2,0.03,0,0,0.0191
110.00000000000006,2,0.03,0,0.01,0.0221
110.00000000000006,2,0.03,0,0.02,0.02
110.00000000000006,2,0.03,0,0.03,0.0201
110.00000000000006,2,0.03,0.01,0,0.0194
110.00000000000006,2,0.03,0.01,0.01,0.0206
110.00000000000006,2,0.03,0.01,0.02,0.0209
110.00000000000006,2,0.03,0.01,0.03,0.0221
110.00000000000006,2,0.03,0.02,0,0.02
110.00000000000006,2,0.03,0.02,0.01,0.0235
110.00000000000006,2,0.03,0.02,0.02,0.0224
110.00000000000006,2,0.03,0.02,0.03,0.0224
110.00000000000006,2,0.03,0.03,0,0.0213
110.00000000000006,2,0.03,0.03,0.01,0.0234
110.00000000000006,2,0.03,0.03,0.02,0.0236
110.00000000000006,2,0.03,0.03,0.03,0.0246
110.00000000000006,2.5,0.01,0,0,0.0082
110.00000000000006,2.5,0.01,0,0.01,0.009
110.00000000000006,2.5,0.01,0,0.02,0.0089
110.00000000000006,2.5,0.01,0,0.03,0.0087
110.00000000000006,2.5,0.01,0.01,0,0.0087
110.00000000000006,2.5,0.01,0.01,0.01,0.0088
110.00000000000006,2.5,0.01,0.01,0.02,0.0098
110.00000000000006,2.5,0.01,0.01,0.03,0.0099
110.00000000000006,2.5,0.01,0.02,0,0.0092
110.00000000000006,2.5,0.01,0.02,0.01,0.0098
110.00000000000006,2.5,0.01,0.02,0.02,0.01
110.00000000000006,2.5,0.01,0.02,0.03,0.0112
110.00000000000006,2.5,0.01,0.03,0,0.009
110.00000000000006,2.5,0.01,0.03,0.01,0.0101
110.00000000000006,2.5,0.01,0.03,0.02,0.0112
110.00000000000006,2.5,0.01,0.03,0.03,0.0123
110.00000000000006,2.5,0.02,0,0,0.0151
110.00000000000006,2.5,0.02,0,0.01,0.0155
110.00000000000006,2.5,0.02,0,0.02,0.0162
110.00000000000006,2.5,0.02,0,0.03,0.0153
110.00000000000006,2.5,0.02,0.01,0,0.0162
110.00000000000006,2.5,0.02,0.01,0.01,0.0153
110.00000000000006,2.5,0.02,0.01,0.02,0.0166
110.00000000000006,2.5,0.02,0.01,0.03,0.0172
110.00000000000006,2.5,0.02,0.02,0,0.0156
110.00000000000006,2.5,0.02,0.02,0.01,0.0163
110.00000000000006,2.5,0.02,0.02,0.02,0.0177
110.00000000000006,2.5,0.02,0.02,0.03,0.0187
110.00000000000006,2.5,0.02,0.03,0,0.0154
110.00000000000006,2.5,0.02,0.03,0.01,0.0171
110.00000000000006,2.5,0.02,0.03,0.02,0.0187
110.00000000000006,2.5,0.02,0.03,0.03,0.019
110.00000000000006,2.5,0.03,0,0,0.0214
110.00000000000006,2.5,0.03,0,0.01,0.0208
110.00000000000006,2.5,0.03,0,0.02,0.0226
110.00000000000006,2.5,0.03,0,0.03,0.0226
110.00000000000006,2.5,0.03,0.01,0,0.0225
110.00000000000006,2.5,0.03,0.01,0.01,0.0225
110.00000000000006,2.5,0.03,0.01,0.02,0.0216
110.00000000000006,2.5,0.03,0.01,0.03,0.0228
110.00000000000006,2.5,0.03,0.02,0,0.0214
110.00000000000006,2.5,0.03,0.02,0.01,0.0215
110.00000000000006,2.5,0.03,0.02,0.02,0.0242
110.00000000000006,2.5,0.03,0.02,0.03,0.0246
110.00000000000006,2.5,0.03,0.03,0,0.0228
110.00000000000006,2.5,0.03,0.03,0.01,0.0221
110.00000000000006,2.5,0.03,0.03,0.02,0.0243
110.00000000000006,2.5,0.03,0.03,0.03,0.0264
130.00000000000006,0.5,0.01,0,0,0.006
130.00000000000006,0.5,0.01,0,0.01,0.0067
130.00000000000006,0.5,0.01,0,0.02,0.0068
130.00000000000006,0.5,0.01,0,0.03,0.0072
130.00000000000006,0.5,0.01,0.01,0,0.007
130.00000000000006,0.5,0.01,0.01,0.01,0.008
130.00000000000006,0.5,0.01,0.01,0.02,0.0094
130.00000000000006,0.5,0.01,0.01,0.03,0.01
130.00000000000006,0.5,0.01,0.02,0,0.0065
130.00000000000006,0.5,0.01,0.02,0.01,0.0095
130.00000000000006,0.5,0.01,0.02,0.02,0.0116
130.00000000000006,0.5,0.01,0.02,0.03,0.0126
130.00000000000006,0.5,0.01,0.03,0,0.0073
130.00000000000006,0.5,0.01,0.03,0.01,0.0106
130.00000000000006,0.5,0.01,0.03,0.02,0.0126
130.00000000000006,0.5,0.01,0.03,0.03,0.0148
130.00000000000006,0.5,0.02,0,0,0.0106
130.00000000000006,0.5,0.02,0,0.01,0.0109
130.00000000000006,0.5,0.02,0,0.02,0.0122
130.00000000000006,0.5,0.02,0,0.03,0.012
130.00000000000006,0.5,0.02,0.01,0,0.0108
130.00000000000006,0.5,0.02,0.01,0.01,0.0129
130.00000000000006,0.5,0.02,0.01,0.02,0.0142
130.00000000000006,0.5,0.02,0.01,0.03,0.0156
130.00000000000006,0.5,0.02,0.02,0,0.0129
130.00000000000006,0.5,0.02,0.02,0.01,0.0144
130.00000000000006,0.5,0.02,0.02,0.02,0.0159
130.00000000000006,0.5,0.02,0.02,0.03,0.0181
130.00000000000006,0.5,0.02,0.03,0,0.012
130.00000000000006,0.5,0.02,0.03,0.01,0.0162
130.00000000000006,0.5,0.02,0.03,0.02,0.0184
