T,PA0,t_meas,P_meas
225.0,4.0,23.0,4.57
225.0,4.0,24.0,4.58
250.0,2.0,1.0,5.82
250.0,2.0,2.0,5.73
250.0,2.0,3.0,5.65
250.0,2.0,4.0,5.53
250.0,2.0,5.0,5.44
250.0,2.0,6.0,5.26
250.0,2.0,7.0,5.17
250.0,2.0,8.0,5.09
250.0,2.0,9.0,5.04
250.0,2.0,10.0,4.98
250.0,2.0,11.0,4.98
250.0,2.0,12.0,4.92
250.0,2.0,13.0,4.86
250.0,2.0,14.0,4.8
250.0,2.0,15.0,4.76
250.0,2.0,16.0,4.68
250.0,2.0,17.0,4.67
250.0,2.0,18.0,4.61
250.0,2.0,19.0,4.58
250.0,2.0,20.0,4.56
250.0,2.0,21.0,4.52
250.0,2.0,22.0,4.5
250.0,2.0,23.0,4.45
250.0,2.0,24.0,4.42
250.0,3.0,1.0,5.81
250.0,3.0,2.0,5.68
250.0,3.0,3.0,5.51
250.0,3.0,4.0,5.38
250.0,3.0,5.0,5.2
250.0,3.0,6.0,5.07
250.0,3.0,7.0,5.01
250.0,3.0,8.0,4.88
250.0,3.0,9.0,4.82
250.0,3.0,10.0,4.72
250.0,3.0,11.0,4.59
250.0,3.0,12.0,4.56
250.0,3.0,13.0,4.51
250.0,3.0,14.0,4.41
250.0,3.0,15.0,4.35
250.0,3.0,16.0,4.32
250.0,3.0,17.0,4.28
250.0,3.0,18.0,4.18
250.0,3.0,19.0,4.15
250.0,3.0,20.0,4.11
250.0,3.0,21.0,4.08
250.0,3.0,22.0,4.05
250.0,3.0,23.0,4.01
250.0,3.0,24.0,3.97
250.0,4.0,1.0,5.75
250.0,4.0,2.0,5.58
250.0,4.0,3.0,5.44
250.0,4.0,4.0,5.25
250.0,4.0,5.0,5.14
250.0,4.0,6.0,5.01
250.0,4.0,7.0,4.91
250.0,4.0,8.0,4.86
250.0,4.0,9.0,4.76
250.0,4.0,10.0,4.62
250.0,4.0,11.0,4.56
250.0,4.0,12.0,4.55
250.0,4.0,13.0,4.44
250.0,4.0,14.0,4.35
250.0,4.0,15.0,4.33
250.0,4.0,16.0,4.26
250.0,4.0,17.0,4.21
250.0,4.0,18.0,4.16
250.0,4.0,19.0,4.13
250.0,4.0,20.0,4.09
250.0,4.0,21.0,4.12
250.0,4.0,22.0,4.12
250.0,4.0,23.0,4.05
250.0,4.0,24.0,4.08
275.0,2.0,1.0,5.72
275.0,2.0,2.0,5.48
275.0,2.0,3.0,5.35
275.0,2.0,4.0,5.14
275.0,2.0,5.0,5.01
275.0,2.0,6.0,4.91
275.0,2.0,7.0,4.8
275.0,2.0,8.0,4.68
275.0,2.0,9.0,4.62
275.0,2.0,10.0,4.56
275.0,2.0,11.0,4.46
275.0,2.0,12.0,4.4
275.0,2.0,13.0,4.37
275.0,2.0,14.0,4.38
275.0,2.0,15.0,4.33
275.0,2.0,16.0,4.26
275.0,2.0,17.0,4.23
275.0,2.0,18.0,4.19
275.0,2.0,19.0,4.24
275.0,2.0,20.0,4.16
275.0,2.0,21.0,4.2
275.0,2.0,22.0,4.17
275.0,2.0,23.0,4.09
275.0,2.0,24.0,4.11
275.0,3.0,1.0,5.63
275.0,3.0,2.0,5.36
275.0,3.0,3.0,5.17
275.0,3.0,4.0,4.9
275.0,3.0,5.0,4.75
275.0,3.0,6.0,4.58
275.0,3.0,7.0,4.48
275.0,3.0,8.0,4.3
275.0,3.0,9.0,4.2
275.0,3.0,10.0,4.15
275.0,3.0,11.0,4.08
275.0,3.0,12.0,4.01
275.0,3.0,13.0,3.86
275.0,3.0,14.0,3.85
275.0,3.0,15.0,3.79
275.0,3.0,16.0,3.75
275.0,3.0,17.0,3.66
275.0,3.0,18.0,3.64
275.0,3.0,19.0,3.66
275.0,3.0,20.0,3.56
275.0,3.0,21.0,3.57
275.0,3.0,22.0,3.57
275.0,3.0,23.0,3.52
275.0,3.0,24.0,3.51
275.0,4.0,1.0,5.65
275.0,4.0,2.0,5.35
275.0,4.0,3.0,5.05
275.0,4.0,4.0,4.84
275.0,4.0,5.0,4.68
275.0,4.0,6.0,4.5
275.0,4.0,7.0,4.41
275.0,4.0,8.0,4.33
275.0,4.0,9.0,4.19
275.0,4.0,10.0,4.19
275.0,4.0,11.0,4.08
275.0,4.0,12.0,4.05
275.0,4.0,13.0,3.98
275.0,4.0,14.0,3.99
275.0,4.0,15.0,3.98
275.0,4.0,16.0,3.99
275.0,4.0,17.0,4.0
275.0,4.0,18.0,4.01
275.0,4.0,19.0,4.0
275.0,4.0,20.0,4.03
275.0,4.0,21.0,4.0
275.0,4.0,22.0,3.99
275.0,4.0,23.0,4.0
275.0,4.0,24.0,4.02
