T,Vdot,CA_in,CB_in,CY_in,CZ_in,CY_out
300.0,50.0,0.5,2.5,5.0,5.0,5.28
300.0,50.0,0.5,5.0,0.5,0.5,0.99
300.0,50.0,0.5,5.0,0.5,1.0,0.98
300.0,50.0,0.5,5.0,0.5,2.5,0.94
300.0,50.0,0.5,5.0,0.5,5.0,0.86
300.0,50.0,0.5,5.0,1.0,0.5,1.49
300.0,50.0,0.5,5.0,1.0,1.0,1.49
300.0,50.0,0.5,5.0,1.0,2.5,1.46
300.0,50.0,0.5,5.0,1.0,5.0,1.37
300.0,50.0,0.5,5.0,2.5,0.5,2.98
300.0,50.0,0.5,5.0,2.5,1.0,2.98
300.0,50.0,0.5,5.0,2.5,2.5,2.95
300.0,50.0,0.5,5.0,2.5,5.0,2.87
300.0,50.0,0.5,5.0,5.0,0.5,5.49
300.0,50.0,0.5,5.0,5.0,1.0,5.49
300.0,50.0,0.5,5.0,5.0,2.5,5.45
300.0,50.0,0.5,5.0,5.0,5.0,5.35
300.0,50.0,1.0,0.5,0.5,0.5,0.96
300.0,50.0,1.0,0.5,0.5,1.0,0.91
300.0,50.0,1.0,0.5,0.5,2.5,0.79
300.0,50.0,1.0,0.5,0.5,5.0,0.67
300.0,50.0,1.0,0.5,1.0,0.5,1.46
300.0,50.0,1.0,0.5,1.0,1.0,1.41
300.0,50.0,1.0,0.5,1.0,2.5,1.29
300.0,50.0,1.0,0.5,1.0,5.0,1.18
300.0,50.0,1.0,0.5,2.5,0.5,2.94
300.0,50.0,1.0,0.5,2.5,1.0,2.92
300.0,50.0,1.0,0.5,2.5,2.5,2.8
300.0,50.0,1.0,0.5,2.5,5.0,2.67
300.0,50.0,1.0,0.5,5.0,0.5,5.45
300.0,50.0,1.0,0.5,5.0,1.0,5.41
300.0,50.0,1.0,0.5,5.0,2.5,5.29
300.0,50.0,1.0,0.5,5.0,5.0,5.16
300.0,50.0,1.0,1.0,0.5,0.5,1.23
300.0,50.0,1.0,1.0,0.5,1.0,1.16
300.0,50.0,1.0,1.0,0.5,2.5,0.98
300.0,50.0,1.0,1.0,0.5,5.0,0.79
300.0,50.0,1.0,1.0,1.0,0.5,1.73
300.0,50.0,1.0,1.0,1.0,1.0,1.67
300.0,50.0,1.0,1.0,1.0,2.5,1.49
300.0,50.0,1.0,1.0,1.0,5.0,1.29
300.0,50.0,1.0,1.0,2.5,0.5,3.23
300.0,50.0,1.0,1.0,2.5,1.0,3.16
300.0,50.0,1.0,1.0,2.5,2.5,2.99
300.0,50.0,1.0,1.0,2.5,5.0,2.78
300.0,50.0,1.0,1.0,5.0,0.5,5.74
300.0,50.0,1.0,1.0,5.0,1.0,5.67
300.0,50.0,1.0,1.0,5.0,2.5,5.49
300.0,50.0,1.0,1.0,5.0,5.0,5.28
300.0,50.0,1.0,2.5,0.5,0.5,1.43
300.0,50.0,1.0,2.5,0.5,1.0,1.38
300.0,50.0,1.0,2.5,0.5,2.5,1.23
300.0,50.0,1.0,2.5,0.5,5.0,1.01
300.0,50.0,1.0,2.5,1.0,0.5,1.93
300.0,50.0,1.0,2.5,1.0,1.0,1.88
300.0,50.0,1.0,2.5,1.0,2.5,1.73
300.0,50.0,1.0,2.5,1.0,5.0,1.52
300.0,50.0,1.0,2.5,2.5,0.5,3.42
300.0,50.0,1.0,2.5,2.5,1.0,3.39
300.0,50.0,1.0,2.5,2.5,2.5,3.24
300.0,50.0,1.0,2.5,2.5,5.0,3.0
300.0,50.0,1.0,2.5,5.0,0.5,5.92
300.0,50.0,1.0,2.5,5.0,1.0,5.89
300.0,50.0,1.0,2.5,5.0,2.5,5.73
300.0,50.0,1.0,2.5,5.0,5.0,5.51
300.0,50.0,1.0,5.0,0.5,0.5,1.47
300.0,50.0,1.0,5.0,0.5,1.0,1.45
300.0,50.0,1.0,5.0,0.5,2.5,1.35
300.0,50.0,1.0,5.0,0.5,5.0,1.19
300.0,50.0,1.0,5.0,1.0,0.5,1.98
300.0,50.0,1.0,5.0,1.0,1.0,1.95
300.0,50.0,1.0,5.0,1.0,2.5,1.86
300.0,50.0,1.0,5.0,1.0,5.0,1.69
300.0,50.0,1.0,5.0,2.5,0.5,3.46
300.0,50.0,1.0,5.0,2.5,1.0,3.45
300.0,50.0,1.0,5.0,2.5,2.5,3.35
300.0,50.0,1.0,5.0,2.5,5.0,3.18
300.0,50.0,1.0,5.0,5.0,0.5,5.97
300.0,50.0,1.0,5.0,5.0,1.0,5.94
300.0,50.0,1.0,5.0,5.0,2.5,5.85
300.0,50.0,1.0,5.0,5.0,5.0,5.69
300.0,50.0,2.5,0.5,0.5,0.5,0.99
300.0,50.0,2.5,0.5,0.5,1.0,0.96
300.0,50.0,2.5,0.5,0.5,2.5,0.9
300.0,50.0,2.5,0.5,0.5,5.0,0.78
300.0,50.0,2.5,0.5,1.0,0.5,1.48
300.0,50.0,2.5,0.5,1.0,1.0,1.47
300.0,50.0,2.5,0.5,1.0,2.5,1.4
300.0,50.0,2.5,0.5,1.0,5.0,1.28
300.0,50.0,2.5,0.5,2.5,0.5,2.98
300.0,50.0,2.5,0.5,2.5,1.0,2.96
300.0,50.0,2.5,0.5,2.5,2.5,2.91
300.0,50.0,2.5,0.5,2.5,5.0,2.78
300.0,50.0,2.5,0.5,5.0,0.5,5.49
300.0,50.0,2.5,0.5,5.0,1.0,5.46
300.0,50.0,2.5,0.5,5.0,2.5,5.41
300.0,50.0,2.5,0.5,5.0,5.0,5.27
300.0,50.0,2.5,1.0,0.5,0.5,1.43
300.0,50.0,2.5,1.0,0.5,1.0,1.38
300.0,50.0,2.5,1.0,0.5,2.5,1.24
300.0,50.0,2.5,1.0,0.5,5.0,1.01
300.0,50.0,2.5,1.0,1.0,0.5,1.93
300.0,50.0,2.5,1.0,1.0,1.0,1.89
300.0,50.0,2.5,1.0,1.0,2.5,1.74
300.0,50.0,2.5,1.0,1.0,5.0,1.51
300.0,50.0,2.5,1.0,2.5,0.5,3.43
300.0,50.0,2.5,1.0,2.5,1.0,3.38
300.0,50.0,2.5,1.0,2.5,2.5,3.24
300.0,50.0,2.5,1.0,2.5,5.0,3.01
300.0,50.0,2.5,1.0,5.0,0.5,5.93
300.0,50.0,2.5,1.0,5.0,1.0,5.87
300.0,50.0,2.5,1.0,5.0,2.5,5.73
300.0,50.0,2.5,1.0,5.0,5.0,5.51
300.0,50.0,2.5,2.5,0.5,0.5,2.26
300.0,50.0,2.5,2.5,0.5,1.0,2.15
300.0,50.0,2.5,2.5,0.5,2.5,1.88
300.0,50.0,2.5,2.5,0.5,5.0,1.5
300.0,50.0,2.5,2.5,1.0,0.5,2.76
300.0,50.0,2.5,2.5,1.0,1.0,2.66
300.0,50.0,2.5,2.5,1.0,2.5,2.36
300.0,50.0,2.5,2.5,1.0,5.0,2.01
300.0,50.0,2.5,2.5,2.5,0.5,4.25
300.0,50.0,2.5,2.5,2.5,1.0,4.15
300.0,50.0,2.5,2.5,2.5,2.5,3.86
300.0,50.0,2.5,2.5,2.5,5.0,3.51
300.0,50.0,2.5,2.5,5.0,0.5,6.75
300.0,50.0,2.5,2.5,5.0,1.0,6.65
300.0,50.0,2.5,2.5,5.0,2.5,6.37
300.0,50.0,2.5,2.5,5.0,5.0,6.0
300.0,50.0,2.5,5.0,0.5,0.5,2.67
300.0,50.0,2.5,5.0,0.5,1.0,2.58
300.0,50.0,2.5,5.0,0.5,2.5,2.33
300.0,50.0,2.5,5.0,0.5,5.0,1.96
300.0,50.0,2.5,5.0,1.0,0.5,3.17
300.0,50.0,2.5,5.0,1.0,1.0,3.07
300.0,50.0,2.5,5.0,1.0,2.5,2.84
300.0,50.0,2.5,5.0,1.0,5.0,2.45
300.0,50.0,2.5,5.0,2.5,0.5,4.67
300.0,50.0,2.5,5.0,2.5,1.0,4.59
300.0,50.0,2.5,5.0,2.5,2.5,4.34
300.0,50.0,2.5,5.0,2.5,5.0,3.94
300.0,50.0,2.5,5.0,5.0,0.5,7.17
300.0,50.0,2.5,5.0,5.0,1.0,7.08
300.0,50.0,2.5,5.0,5.0,2.5,6.82
300.0,50.0,2.5,5.0,5.0,5.0,6.46
300.0,50.0,5.0,0.5,0.5,0.5,0.99
300.0,50.0,5.0,0.5,0.5,1.0,0.98
300.0,50.0,5.0,0.5,0.5,2.5,0.96
300.0,50.0,5.0,0.5,0.5,5.0,0.87
300.0,50.0,5.0,0.5,1.0,0.5,1.49
300.0,50.0,5.0,0.5,1.0,1.0,1.48
300.0,50.0,5.0,0.5,1.0,2.5,1.46
300.0,50.0,5.0,0.5,1.0,5.0,1.37
300.0,50.0,5.0,0.5,2.5,0.5,3.0
300.0,50.0,5.0,0.5,2.5,1.0,2.98
300.0,50.0,5.0,0.5,2.5,2.5,2.95
300.0,50.0,5.0,0.5,2.5,5.0,2.86
300.0,50.0,5.0,0.5,5.0,0.5,5.49
300.0,50.0,5.0,0.5,5.0,1.0,5.49
300.0,50.0,5.0,0.5,5.0,2.5,5.45
300.0,50.0,5.0,0.5,5.0,5.0,5.35
300.0,50.0,5.0,1.0,0.5,0.5,1.47
300.0,50.0,5.0,1.0,0.5,1.0,1.44
300.0,50.0,5.0,1.0,0.5,2.5,1.36
300.0,50.0,5.0,1.0,0.5,5.0,1.19
300.0,50.0,5.0,1.0,1.0,0.5,1.96
300.0,50.0,5.0,1.0,1.0,1.0,1.95
300.0,50.0,5.0,1.0,1.0,2.5,1.86
300.0,50.0,5.0,1.0,1.0,5.0,1.69
300.0,50.0,5.0,1.0,2.5,0.5,3.48
300.0,50.0,5.0,1.0,2.5,1.0,3.44
300.0,50.0,5.0,1.0,2.5,2.5,3.35
300.0,50.0,5.0,1.0,2.5,5.0,3.18
300.0,50.0,5.0,1.0,5.0,0.5,5.97
300.0,50.0,5.0,1.0,5.0,1.0,5.95
300.0,50.0,5.0,1.0,5.0,2.5,5.85
300.0,50.0,5.0,1.0,5.0,5.0,5.68
300.0,50.0,5.0,2.5,0.5,0.5,2.67
300.0,50.0,5.0,2.5,0.5,1.0,2.59
300.0,50.0,5.0,2.5,0.5,2.5,2.33
300.0,50.0,5.0,2.5,0.5,5.0,1.96
300.0,50.0,5.0,2.5,1.0,0.5,3.17
300.0,50.0,5.0,2.5,1.0,1.0,3.08
300.0,50.0,5.0,2.5,1.0,2.5,2.82
300.0,50.0,5.0,2.5,1.0,5.0,2.44
300.0,50.0,5.0,2.5,2.5,0.5,4.66
300.0,50.0,5.0,2.5,2.5,1.0,4.57
300.0,50.0,5.0,2.5,2.5,2.5,4.32
300.0,50.0,5.0,2.5,2.5,5.0,3.95
300.0,50.0,5.0,2.5,5.0,0.5,7.16
300.0,50.0,5.0,2.5,5.0,1.0,7.09
300.0,50.0,5.0,2.5,5.0,2.5,6.83
300.0,50.0,5.0,2.5,5.0,5.0,6.45
300.0,50.0,5.0,5.0,0.5,0.5,3.78
300.0,50.0,5.0,5.0,0.5,1.0,3.66
300.0,50.0,5.0,5.0,0.5,2.5,3.29
300.0,50.0,5.0,5.0,0.5,5.0,2.77
300.0,50.0,5.0,5.0,1.0,0.5,4.29
300.0,50.0,5.0,5.0,1.0,1.0,4.16
300.0,50.0,5.0,5.0,1.0,2.5,3.79
300.0,50.0,5.0,5.0,1.0,5.0,3.28
300.0,50.0,5.0,5.0,2.5,0.5,5.78
300.0,50.0,5.0,5.0,2.5,1.0,5.66
300.0,50.0,5.0,5.0,2.5,2.5,5.3
300.0,50.0,5.0,5.0,2.5,5.0,4.77
300.0,50.0,5.0,5.0,5.0,0.5,8.29
300.0,50.0,5.0,5.0,5.0,1.0,8.15
300.0,50.0,5.0,5.0,5.0,2.5,7.79
300.0,50.0,5.0,5.0,5.0,5.0,7.27
300.0,100.0,0.5,0.5,0.5,0.5,0.83
300.0,100.0,0.5,0.5,0.5,1.0,0.77
300.0,100.0,0.5,0.5,0.5,2.5,0.64
300.0,100.0,0.5,0.5,0.5,5.0,0.56
300.0,100.0,0.5,0.5,1.0,0.5,1.34
300.0,100.0,0.5,0.5,1.0,1.0,1.26
300.0,100.0,0.5,0.5,1.0,2.5,1.15
300.0,100.0,0.5,0.5,1.0,5.0,1.06
300.0,100.0,0.5,0.5,2.5,0.5,2.83
300.0,100.0,0.5,0.5,2.5,1.0,2.77
300.0,100.0,0.5,0.5,2.5,2.5,2.65
300.0,100.0,0.5,0.5,2.5,5.0,2.55
300.0,100.0,0.5,0.5,5.0,0.5,5.33
300.0,100.0,0.5,0.5,5.0,1.0,5.26
300.0,100.0,0.5,0.5,5.0,2.5,5.15
300.0,100.0,0.5,0.5,5.0,5.0,5.06
300.0,100.0,0.5,1.0,0.5,0.5,0.93
300.0,100.0,0.5,1.0,0.5,1.0,0.86
300.0,100.0,0.5,1.0,0.5,2.5,0.72
300.0,100.0,0.5,1.0,0.5,5.0,0.61
300.0,100.0,0.5,1.0,1.0,0.5,1.42
300.0,100.0,0.5,1.0,1.0,1.0,1.36
300.0,100.0,0.5,1.0,1.0,2.5,1.23
300.0,100.0,0.5,1.0,1.0,5.0,1.11
300.0,100.0,0.5,1.0,2.5,0.5,2.92
300.0,100.0,0.5,1.0,2.5,1.0,2.87
300.0,100.0,0.5,1.0,2.5,2.5,2.73
300.0,100.0,0.5,1.0,2.5,5.0,2.61
300.0,100.0,0.5,1.0,5.0,0.5,5.42
300.0,100.0,0.5,1.0,5.0,1.0,5.36
300.0,100.0,0.5,1.0,5.0,2.5,5.22
300.0,100.0,0.5,1.0,5.0,5.0,5.1
300.0,100.0,0.5,2.5,0.5,0.5,0.96
300.0,100.0,0.5,2.5,0.5,1.0,0.94
300.0,100.0,0.5,2.5,0.5,2.5,0.85
300.0,100.0,0.5,2.5,0.5,5.0,0.71
300.0,100.0,0.5,2.5,1.0,0.5,1.47
300.0,100.0,0.5,2.5,1.0,1.0,1.45
300.0,100.0,0.5,2.5,1.0,2.5,1.34
300.0,100.0,0.5,2.5,1.0,5.0,1.21
300.0,100.0,0.5,2.5,2.5,0.5,2.98
300.0,100.0,0.5,2.5,2.5,1.0,2.94
300.0,100.0,0.5,2.5,2.5,2.5,2.85
300.0,100.0,0.5,2.5,2.5,5.0,2.71
300.0,100.0,0.5,2.5,5.0,0.5,5.47
300.0,100.0,0.5,2.5,5.0,1.0,5.45
300.0,100.0,0.5,2.5,5.0,2.5,5.34
300.0,100.0,0.5,2.5,5.0,5.0,5.21
300.0,100.0,0.5,5.0,0.5,0.5,0.98
300.0,100.0,0.5,5.0,0.5,1.0,0.98
300.0,100.0,0.5,5.0,0.5,2.5,0.91
300.0,100.0,0.5,5.0,0.5,5.0,0.79
300.0,100.0,0.5,5.0,1.0,0.5,1.48
300.0,100.0,0.5,5.0,1.0,1.0,1.47
300.0,100.0,0.5,5.0,1.0,2.5,1.4
300.0,100.0,0.5,5.0,1.0,5.0,1.29
300.0,100.0,0.5,5.0,2.5,0.5,2.98
300.0,100.0,0.5,5.0,2.5,1.0,2.96
300.0,100.0,0.5,5.0,2.5,2.5,2.91
300.0,100.0,0.5,5.0,2.5,5.0,2.79
300.0,100.0,0.5,5.0,5.0,0.5,5.48
300.0,100.0,0.5,5.0,5.0,1.0,5.47
300.0,100.0,0.5,5.0,5.0,2.5,5.41
300.0,100.0,0.5,5.0,5.0,5.0,5.29
300.0,100.0,1.0,0.5,0.5,0.5,0.92
300.0,100.0,1.0,0.5,0.5,1.0,0.87
300.0,100.0,1.0,0.5,0.5,2.5,0.73
300.0,100.0,1.0,0.5,0.5,5.0,0.61
300.0,100.0,1.0,0.5,1.0,0.5,1.42
300.0,100.0,1.0,0.5,1.0,1.0,1.38
300.0,100.0,1.0,0.5,1.0,2.5,1.23
300.0,100.0,1.0,0.5,1.0,5.0,1.11
300.0,100.0,1.0,0.5,2.5,0.5,2.93
300.0,100.0,1.0,0.5,2.5,1.0,2.88
300.0,100.0,1.0,0.5,2.5,2.5,2.73
300.0,100.0,1.0,0.5,2.5,5.0,2.61
300.0,100.0,1.0,0.5,5.0,0.5,5.42
300.0,100.0,1.0,0.5,5.0,1.0,5.38
300.0,100.0,1.0,0.5,5.0,2.5,5.22
300.0,100.0,1.0,0.5,5.0,5.0,5.11
300.0,100.0,1.0,1.0,0.5,0.5,1.17
300.0,100.0,1.0,1.0,0.5,1.0,1.08
300.0,100.0,1.0,1.0,0.5,2.5,0.87
300.0,100.0,1.0,1.0,0.5,5.0,0.7
300.0,100.0,1.0,1.0,1.0,0.5,1.67
300.0,100.0,1.0,1.0,1.0,1.0,1.59
300.0,100.0,1.0,1.0,1.0,2.5,1.38
300.0,100.0,1.0,1.0,1.0,5.0,1.2
300.0,100.0,1.0,1.0,2.5,0.5,3.17
300.0,100.0,1.0,1.0,2.5,1.0,3.07
300.0,100.0,1.0,1.0,2.5,2.5,2.88
300.0,100.0,1.0,1.0,2.5,5.0,2.7
300.0,100.0,1.0,1.0,5.0,0.5,5.66
300.0,100.0,1.0,1.0,5.0,1.0,5.58
300.0,100.0,1.0,1.0,5.0,2.5,5.37
300.0,100.0,1.0,1.0,5.0,5.0,5.2
300.0,100.0,1.0,2.5,0.5,0.5,1.37
300.0,100.0,1.0,2.5,0.5,1.0,1.31
300.0,100.0,1.0,2.5,0.5,2.5,1.11
300.0,100.0,1.0,2.5,0.5,5.0,0.87
300.0,100.0,1.0,2.5,1.0,0.5,1.88
300.0,100.0,1.0,2.5,1.0,1.0,1.81
300.0,100.0,1.0,2.5,1.0,2.5,1.62
300.0,100.0,1.0,2.5,1.0,5.0,1.38
300.0,100.0,1.0,2.5,2.5,0.5,3.38
300.0,100.0,1.0,2.5,2.5,1.0,3.31
300.0,100.0,1.0,2.5,2.5,2.5,3.11
300.0,100.0,1.0,2.5,2.5,5.0,2.88
300.0,100.0,1.0,2.5,5.0,0.5,5.87
300.0,100.0,1.0,2.5,5.0,1.0,5.8
300.0,100.0,1.0,2.5,5.0,2.5,5.61
300.0,100.0,1.0,2.5,5.0,5.0,5.38
300.0,100.0,1.0,5.0,0.5,0.5,1.44
300.0,100.0,1.0,5.0,0.5,1.0,1.4
300.0,100.0,1.0,5.0,0.5,2.5,1.27
300.0,100.0,1.0,5.0,0.5,5.0,1.03
300.0,100.0,1.0,5.0,1.0,0.5,1.94
300.0,100.0,1.0,5.0,1.0,1.0,1.89
300.0,100.0,1.0,5.0,1.0,2.5,1.76
300.0,100.0,1.0,5.0,1.0,5.0,1.55
300.0,100.0,1.0,5.0,2.5,0.5,3.44
300.0,100.0,1.0,5.0,2.5,1.0,3.4
300.0,100.0,1.0,5.0,2.5,2.5,3.26
300.0,100.0,1.0,5.0,2.5,5.0,3.04
300.0,100.0,1.0,5.0,5.0,0.5,5.94
300.0,100.0,1.0,5.0,5.0,1.0,5.89
300.0,100.0,1.0,5.0,5.0,2.5,5.76
300.0,100.0,1.0,5.0,5.0,5.0,5.54
300.0,100.0,2.5,0.5,0.5,0.5,0.97
300.0,100.0,2.5,0.5,0.5,1.0,0.94
300.0,100.0,2.5,0.5,0.5,2.5,0.83
300.0,100.0,2.5,0.5,0.5,5.0,0.7
300.0,100.0,2.5,0.5,1.0,0.5,1.47
300.0,100.0,2.5,0.5,1.0,1.0,1.45
300.0,100.0,2.5,0.5,1.0,2.5,1.35
300.0,100.0,2.5,0.5,1.0,5.0,1.21
300.0,100.0,2.5,0.5,2.5,0.5,2.97
300.0,100.0,2.5,0.5,2.5,1.0,2.94
300.0,100.0,2.5,0.5,2.5,2.5,2.83
300.0,100.0,2.5,0.5,2.5,5.0,2.7
300.0,100.0,2.5,0.5,5.0,0.5,5.48
300.0,100.0,2.5,0.5,5.0,1.0,5.45
300.0,100.0,2.5,0.5,5.0,2.5,5.33
300.0,100.0,2.5,0.5,5.0,5.0,5.2
300.0,100.0,2.5,1.0,0.5,0.5,1.38
300.0,100.0,2.5,1.0,0.5,1.0,1.31
300.0,100.0,2.5,1.0,0.5,2.5,1.11
300.0,100.0,2.5,1.0,0.5,5.0,0.87
300.0,100.0,2.5,1.0,1.0,0.5,1.88
300.0,100.0,2.5,1.0,1.0,1.0,1.8
300.0,100.0,2.5,1.0,1.0,2.5,1.62
300.0,100.0,2.5,1.0,1.0,5.0,1.38
300.0,100.0,2.5,1.0,2.5,0.5,3.37
300.0,100.0,2.5,1.0,2.5,1.0,3.32
300.0,100.0,2.5,1.0,2.5,2.5,3.11
300.0,100.0,2.5,1.0,2.5,5.0,2.87
300.0,100.0,2.5,1.0,5.0,0.5,5.88
300.0,100.0,2.5,1.0,5.0,1.0,5.81
300.0,100.0,2.5,1.0,5.0,2.5,5.6
300.0,100.0,2.5,1.0,5.0,5.0,5.37
300.0,100.0,2.5,2.5,0.5,0.5,2.08
300.0,100.0,2.5,2.5,0.5,1.0,1.97
300.0,100.0,2.5,2.5,0.5,2.5,1.63
300.0,100.0,2.5,2.5,0.5,5.0,1.26
300.0,100.0,2.5,2.5,1.0,0.5,2.59
300.0,100.0,2.5,2.5,1.0,1.0,2.45
300.0,100.0,2.5,2.5,1.0,2.5,2.13
300.0,100.0,2.5,2.5,1.0,5.0,1.74
300.0,100.0,2.5,2.5,2.5,0.5,4.08
300.0,100.0,2.5,2.5,2.5,1.0,3.96
300.0,100.0,2.5,2.5,2.5,2.5,3.65
300.0,100.0,2.5,2.5,2.5,5.0,3.26
300.0,100.0,2.5,2.5,5.0,0.5,6.58
300.0,100.0,2.5,2.5,5.0,1.0,6.46
300.0,100.0,2.5,2.5,5.0,2.5,6.14
300.0,100.0,2.5,2.5,5.0,5.0,5.76
300.0,100.0,2.5,5.0,0.5,0.5,2.48
300.0,100.0,2.5,5.0,0.5,1.0,2.39
300.0,100.0,2.5,5.0,0.5,2.5,2.07
300.0,100.0,2.5,5.0,0.5,5.0,1.63
300.0,100.0,2.5,5.0,1.0,0.5,2.99
300.0,100.0,2.5,5.0,1.0,1.0,2.87
300.0,100.0,2.5,5.0,1.0,2.5,2.57
300.0,100.0,2.5,5.0,1.0,5.0,2.13
300.0,100.0,2.5,5.0,2.5,0.5,4.5
300.0,100.0,2.5,5.0,2.5,1.0,4.38
300.0,100.0,2.5,5.0,2.5,2.5,4.06
300.0,100.0,2.5,5.0,2.5,5.0,3.63
300.0,100.0,2.5,5.0,5.0,0.5,6.99
300.0,100.0,2.5,5.0,5.0,1.0,6.89
300.0,100.0,2.5,5.0,5.0,2.5,6.57
300.0,100.0,2.5,5.0,5.0,5.0,6.14
300.0,100.0,5.0,0.5,0.5,0.5,0.99
300.0,100.0,5.0,0.5,0.5,1.0,0.97
300.0,100.0,5.0,0.5,0.5,2.5,0.92
300.0,100.0,5.0,0.5,0.5,5.0,0.79
300.0,100.0,5.0,0.5,1.0,0.5,1.48
300.0,100.0,5.0,0.5,1.0,1.0,1.47
300.0,100.0,5.0,0.5,1.0,2.5,1.41
300.0,100.0,5.0,0.5,1.0,5.0,1.28
300.0,100.0,5.0,0.5,2.5,0.5,2.99
300.0,100.0,5.0,0.5,2.5,1.0,2.98
300.0,100.0,5.0,0.5,2.5,2.5,2.91
300.0,100.0,5.0,0.5,2.5,5.0,2.79
300.0,100.0,5.0,0.5,5.0,0.5,5.49
300.0,100.0,5.0,0.5,5.0,1.0,5.48
300.0,100.0,5.0,0.5,5.0,2.5,5.41
300.0,100.0,5.0,0.5,5.0,5.0,5.28
300.0,100.0,5.0,1.0,0.5,0.5,1.45
300.0,100.0,5.0,1.0,0.5,1.0,1.4
300.0,100.0,5.0,1.0,0.5,2.5,1.27
300.0,100.0,5.0,1.0,0.5,5.0,1.05
300.0,100.0,5.0,1.0,1.0,0.5,1.94
300.0,100.0,5.0,1.0,1.0,1.0,1.9
300.0,100.0,5.0,1.0,1.0,2.5,1.76
300.0,100.0,5.0,1.0,1.0,5.0,1.54
300.0,100.0,5.0,1.0,2.5,0.5,3.44
300.0,100.0,5.0,1.0,2.5,1.0,3.41
300.0,100.0,5.0,1.0,2.5,2.5,3.27
300.0,100.0,5.0,1.0,2.5,5.0,3.05
300.0,100.0,5.0,1.0,5.0,0.5,5.94
300.0,100.0,5.0,1.0,5.0,1.0,5.89
300.0,100.0,5.0,1.0,5.0,2.5,5.77
300.0,100.0,5.0,1.0,5.0,5.0,5.55
300.0,100.0,5.0,2.5,0.5,0.5,2.49
300.0,100.0,5.0,2.5,0.5,1.0,2.38
300.0,100.0,5.0,2.5,0.5,2.5,2.06
300.0,100.0,5.0,2.5,0.5,5.0,1.64
300.0,100.0,5.0,2.5,1.0,0.5,2.98
300.0,100.0,5.0,2.5,1.0,1.0,2.87
300.0,100.0,5.0,2.5,1.0,2.5,2.56
300.0,100.0,5.0,2.5,1.0,5.0,2.14
300.0,100.0,5.0,2.5,2.5,0.5,4.49
300.0,100.0,5.0,2.5,2.5,1.0,4.38
300.0,100.0,5.0,2.5,2.5,2.5,4.06
300.0,100.0,5.0,2.5,2.5,5.0,3.64
300.0,100.0,5.0,2.5,5.0,0.5,6.98
300.0,100.0,5.0,2.5,5.0,1.0,6.89
300.0,100.0,5.0,2.5,5.0,2.5,6.57
300.0,100.0,5.0,2.5,5.0,5.0,6.14
300.0,100.0,5.0,5.0,0.5,0.5,3.43
